idx,action,cvg2
1,drink water,"One hand carries a single vessel to the lips in one smooth upward arc — the object tilts as the elbow rises and the wrist rotates inward at mouth level."
2,eat meal,"The forearm cycles repeatedly between a low surface and the open mouth — jaw opens at the top of each cycle and the rhythm is slower than drinking."
3,brush teeth,"A narrow object stays inside the parted lips moving rapidly side to side — the wrist oscillates fast while the elbow stays fixed at face level."
4,brush hair,"A wide flat object makes one long slow stroke downward from the crown all the way through the hair — the arm travels its full range from overhead to shoulder level."
5,drop,"The fingers open passively at waist height and nothing catches the object — the hand stays open and low as the object disappears below it."
6,pickup,"Both knees bend until the hand touches the floor — the deepest knee bend in the dataset with the hand reaching ground level."
7,throw,"The arm cocks fully behind the shoulder then accelerates forward releasing the object past head height — maximum arm speed with object departure."
8,sit down,"The hips descend in a controlled arc toward a surface behind the body — knees track forward and arms reach backward simultaneously."
9,stand up,"Both legs straighten from a seated position pushing the hips upward — the torso tilts forward before the legs extend."
10,clapping,"Both arms swing outward then inward so the palms meet at chest level — the hands fully separate between each contact."
11,reading,"Both hands grip a flat wide object at face height and hold it completely motionless — zero hand movement for the entire duration."
12,writing,"One forearm rests on a flat surface while the hand traces small irregular loops — the wrist makes micro-movements with the elbow anchored on the desk."
13,tear paper,"Both hands start close together gripping a flat sheet then pull forcefully in opposite directions — the hands move apart rapidly in a single explosive motion."
14,wear jacket,"Both arms swing behind the torso and thread upward through fabric — the elbows move backward and then rise as the shoulders rotate outward."
15,take off jacket,"Both shoulders roll inward and forward as the arms peel downward out of fabric — the elbows drop and the jacket slides off behind."
16,wear shoe,"The torso bends far forward and both hands guide an object over the toes of a raised foot — the hands push forward and downward onto the foot."
17,take off shoe,"Both hands grip the back of a shoe on a raised foot and pull directly backward — the heel clears last as the shoe slides off."
18,wear glasses,"Both hands bring a thin frame toward the face from the front — the frame settles onto the nose bridge as both hands release near the ears."
19,take off glasses,"Both hands grip the sides of a frame at eye level and draw it forward away from the face — the frame moves outward parallel to the ground."
20,put on hat,"Both hands hold a rounded object above the crown and press it straight down — the object descends vertically onto the top of the head."
21,take off hat,"Both hands grip the top of the head and lift the object straight upward — the arms extend fully overhead as the object clears the crown."
22,cheer up,"Both arms sweep from hip level upward and outward until fully extended above the head — the palms face outward at maximum arm extension overhead."
23,hand waving,"One arm raises to shoulder height and the hand pivots at the wrist left and right — the upper arm stays still while the forearm swings."
24,kicking something,"One foot swings forward low along the ground to contact an object near floor level — the kicking leg stays below knee height of the standing leg."
25,reach into pocket,"One hand drops to hip level and slides into an opening in the clothing — the fingers point downward as the hand disappears into the fabric."
26,hopping,"One foot leaves and returns to the ground repeatedly while the other knee stays raised — the same single foot makes every landing."
27,jump up,"Both feet push off the ground simultaneously and the entire body rises — both ankles leave the surface at the same instant."
28,phone call,"One hand holds a flat object pressed flat against the side of the head — the object stays stationary against the ear for the duration."
29,play phone,"Both thumbs move independently across the surface of a flat screen held at chest level — the screen faces upward and the eyes look down."
30,typing keyboard,"All ten fingers tap a horizontal surface with both forearms resting flat on the desk — the wrists stay low and the finger movement is rapid and distributed."
31,point finger,"One arm extends fully with a single finger aimed at a fixed distant point — the arm is straight and still after extension."
32,selfie,"Both arms extend forward holding a flat screen with the camera side facing the person — the screen tilts inward toward the face at arm's length."
33,check watch,"One forearm bends and rotates until the inner wrist faces upward at eye level — the rotation is inward and the head tilts slightly toward the wrist."
34,rub hands,"Both palms press together and slide back and forth continuously — the hands never fully separate and the motion is a sustained friction."
35,nod head,"The head and upper chest tilt forward together in a single downward arc — the whole upper body participates in the bow."
36,shake head,"The head rotates left then right at the neck while the shoulders stay completely level — pure cervical rotation with no vertical component."
37,wipe face,"One open palm makes a single slow downward sweep across the forehead and cheeks — the hand covers the full face surface in one stroke."
38,salute,"One flat hand presses against the temple with fingers together and the elbow held out at shoulder level — the posture is rigid and held still."
39,palms together,"Both palms press flat against each other in front of the chest and remain completely still — no sliding, no separation, sustained contact."
40,cross hands,"Both arms push straight forward simultaneously with open palms facing away — the arms extend together in a single forward thrust."
41,sneeze,"The torso lurches suddenly forward and one hand swings up to cover the mouth — the movement is involuntary and abrupt with no preparation."
42,staggering,"The body shifts its weight erratically sideways while continuing to move forward — balance is partially maintained but the path is irregular."
43,falling,"The body tips past its balance point and drops rapidly to one side — the descent is uncontrolled and the body reaches near-horizontal."
44,headache,"The heel of one hand presses into the center of the forehead — the hand is not flat but heel-first, and the head may bow slightly."
45,chest pain,"One open palm presses against the left chest and holds still — the hand does not move after contact and the body remains upright."
46,back pain,"One arm swings behind the body to press the hand against the lower back — the torso twists to allow the arm to reach the lumbar region."
47,neck pain,"One hand cups the side of the neck as the head tilts toward the shoulder on the same side — the head and hand move toward each other."
48,nausea,"Both hands press the abdomen as the torso folds deeply forward at the waist — the head drops toward knee level in the deepest forward bend."
49,fan self,"One hand swings a flat object in short rapid arcs in front of the face — the forearm pivots at the elbow creating a fanning motion."
50,punch,"One closed fist accelerates forward from a cocked position toward another person at face height — the fist is closed and the motion is explosive."
51,kicking person,"One leg raises to hip height then drives the foot forward at the level of another person's torso — the foot travels at waist height."
52,pushing,"Both open palms press against another person's torso and the arms straighten — the force is horizontal and continuous against the other person."
53,pat back,"One open hand makes repeated light contacts on the upper back of another person — the tapping is gentle and the hand bounces off the surface."
54,point person,"One arm raises to chest height and the index finger extends toward a person standing nearby — the gesture is directed at a specific nearby individual."
55,hugging,"Both arms wrap around another person's back and pull inward — the embrace is bilateral and the two bodies press together."
56,give object,"One open palm extends toward another person with an object resting on it — the hand opens and holds still waiting for the other person to take the object."
57,touch pocket,"One hand extends sideways toward the hip area of another person — the hand moves toward someone else's clothing at their waist level."
58,handshake,"One hand grips another person's hand and pumps the joined hands up and down — the grip is firm and the pumping is vertical."
59,walk towards,"Two people approach each other from opposite directions with regular arm swings — the gap between the two bodies decreases with each stride."
60,walk apart,"Two people move away from each other in opposite directions with regular arm swings — the gap between the two bodies increases with each stride."
