idx,diff
1,"Hand-to-mouth motion, minimal jaw movement, no chewing or brushing."
2,"Repeated forearm-to-mouth motion, jaw opening, slower rhythm."
3,"Rapid, repetitive wrist rotation, object interaction near mouth, elbow fixed."
4,"Repeated vertical hand motion, near head, no facial accessory interaction."
5,"Hand opens, object descends due to gravity, no further interaction."
6,"Hand lowers to object, grasps, and lifts upwards, elbow flexion involved."
7,"Forceful arm extension, high speed, object leaves hand in mid-motion."
8,"Lowering body towards ground, knees flexing, weight shifts backwards."
9,"Vertical body movement, rising from a bent to an upright posture."
10,"Repeatedly bringing palms together in front, no lateral movement."
11,"Minimal hand movement, steady gaze, mostly static upper body posture."
12,"Continuous hand movement, slower speed, no keyboard interaction."
13,"Rapid, repeated hand movements, tearing motion, no body rotation."
14,"Arm extension and retraction, body rotation, object enveloping body"
15,"Reversal of arm movements, jacket interaction, body uncovers."
16,"Foot raises, hand guides object to foot, downward motion."
17,"Hand reaches down, grasps object, upward motion, foot remains stationary."
18,"Bilateral hand movement towards face, object interaction at eye level."
19,"Hand moves towards face, grasp object, then moves away horizontally."
20,"Vertical arm movement towards head, object placed on top."
21,"Upward arm movement, hand reaches head, object removal, downward return."
22,"Both arms raised, palms open, repeated upward thrusting motion."
23,"Repeated horizontal arm oscillation, palm facing outward, no contact."
24,"Forward leg extension, foot contact with object, body remains upright."
25,"Hand moves towards own body, interaction with personal clothing."
26,"Continuous one-legged vertical motion, no object interaction, same foot landing."
27,"Both feet leave ground simultaneously, upward motion, no object interaction."
28,"Hand raised to ear, minimal finger movement, stationary elbow position."
29,"Frequent varied finger movements, minimal arm motion, gaze fixated downwards."
30,"Rapid, repetitive finger flexion, wrists stable, minimal arm movement."
31,"Extended arm and index finger, directionally oriented towards an object."
32,"Arm extended forward, phone facing user, minimal finger movement, stationary posture."
33,"Forearm supination, wrist flexion towards face, stationary index finger."
34,Continuous horizontal sliding motion of palms against each other.
35,"Vertical head movement, downward and upward, in a single cycle."
36,"Horizontal, side-to-side head rotation, no vertical movement."
37,"Hand moves towards face, slow sweeping motion across facial area."
38,"Hand raised to forehead, elbow bent, stationary posture, no face contact."
39,"Hands meet in middle, palms flat against each other, no rubbing motion."
40,"Hands overlap, extended forward, palms facing outwards, no rubbing motion."
41,"Abrupt head and shoulder jerk forward, rapid arm movement to face."
42,"Unsteady, wavering movement, slow rhythm, upright posture maintained."
43,"Rapid downward movement, loss of balance, no controlled steps taken."
44,"Hand elevation towards forehead, indicative of discomfort in cranial region."
45,"Hand moves towards the central torso, indicative of internal discomfort."
46,"Hand reaches posteriorly, contacting the lumbar or thoracic region."
47,"Hand ascends to cervical region, brief contact, no chest involvement."
48,"Abrupt forward torso bending, rapid head movement, no hand-mouth interaction"
49,"Forearm supination, wrist flexion, and elbow extension in repetitive motion."
50,"Rapid forward arm extension, high speed, direct contact with person."
51,"Leg extension towards another person, fast, direct, hip joint pivotal."
52,"Extended arms, forward thrusting motion, no leg involvement, opponent displacement"
53,Repeated gentle hand contact on other's dorsal torso region.
54,"Extended index finger directed toward another, no body contact."
55,"Both arms encircle other's torso, sustained bilateral contact."
56,"Single arm extends toward other, hand opens releasing object."
57,"Interaction with another person's body, not self-directed action."
58,"Mutual hand grasp, rhythmic vertical forearm pumping, close distance."
59,"Bilateral approach gait, decreasing interpersonal distance, facing inward."
60,"Bilateral recession gait, increasing interpersonal distance, facing outward."
