idx,bc
1,"Body upright, one arm bent with hand at mouth level, other arm at side."
2,"Body tilted slightly forward, one arm cycling between waist and mouth level."
3,"Body upright, one arm raised to face, hand moving rapidly side to side."
4,"Body upright, one arm fully raised overhead, hand gliding downward slowly."
5,"Body upright, one arm extended downward at the hip, fingers spread open."
6,"Knees deeply bent, torso forward, one arm fully extended down to the floor."
7,"Body rotated sideways, one arm raised behind the shoulder, weight on back foot."
8,"Hips at knee level, both knees bent forward, torso slightly forward."
9,"Torso leaning forward, both legs straightening, body rising from low to upright."
10,"Body upright, both arms swinging inward with hands meeting at chest level."
11,"Body upright, both arms raised holding still at face level, head steady."
12,"Body leaning forward, one forearm resting, hand tracing small movements."
13,"Body upright, both arms close at chest, then spreading forcefully outward."
14,"Body slightly bent, one arm twisted behind the back, shoulder rotating back."
15,"Shoulders rounded forward, both arms pulling downward free, torso bent."
16,"Body bent far forward, one knee raised high, both arms reaching down to foot."
17,"Body bent forward, one foot raised, both arms pulling backward at the heel."
18,"Body upright, both arms raised, fingertips meeting at eye level on the face."
19,"Body upright, both arms raised at eye level, fingertips pulling outward."
20,"Body upright, both arms fully raised overhead, hands pressing down to crown."
21,"Body upright, both arms raised to the crown, hands lifting straight upward."
22,"Body upright, both arms sweeping wide and fully raised above the head."
23,"Body upright and still, one arm at shoulder height, hand swinging side to side."
24,"Weight on one leg, other leg swinging low forward, arms out for balance."
25,"Body upright, one arm lowered at the hip, hand pointing downward at the hip."
26,"One foot on ground, other knee raised, body bouncing upward repeatedly."
27,"Both feet off ground, knees slightly bent, arms raised, body fully airborne."
28,"Body upright, one arm bent, hand pressed flat against the side of the head."
29,"Body slightly forward, both arms bent at chest, thumbs moving repeatedly."
30,"Body upright leaning forward, both forearms flat, all fingers spread tapping."
31,"Body upright, one arm fully extended at shoulder height, index finger pointing."
32,"Body upright, both arms extended forward at shoulder height angled inward."
33,"Body upright, one arm bent, inner wrist rotated upward at eye level."
34,"Body upright, both arms bent, palms pressed sliding back and forth at waist."
35,"Body bending forward at the waist, head tilted down, arms straight at sides."
36,"Body completely still, only the head turning left and right at the neck."
37,"Body upright, one arm raised, open palm dragging slowly across the face."
38,"Body upright and still, one arm raised, flat hand at the temple, elbow out."
39,"Body upright, both arms bent inward, palms pressed flat together at chest."
40,"Body upright, both arms fully extended forward, open palms facing outward."
41,"Body lurching forward, head down, one arm raised to mouth, knees bending."
42,"Body leaning to one side, weight shifting erratically, arms spread for balance."
43,"Body tilted far past vertical, arms out, one side dropping rapidly."
44,"Body slightly bent, head bowed, one hand pressing firmly against the forehead."
45,"Body upright, one hand pressing flat against the left chest, other arm at side."
46,"Body twisted, one arm reaching behind, hand pressing the lower back."
47,"Head tilted to one side, one hand cupping the neck, other arm at side."
48,"Body deeply bent forward at waist, head near knees, both hands on abdomen."
49,"Body upright, one arm bent at elbow, hand swinging back and forth at face level."
50,"Body sideways, one arm drawn back, fist driving forward, weight shifting forward."
51,"Weight on one leg, other leg raised at hip height driving toward another person."
52,"Body leaning forward, both arms fully extended, open palms pressing forward."
53,"Body leaning sideways, one arm reaching across tapping another person's back."
54,"Body upright, one arm at chest height pointing index finger directly at another."
55,"Both arms wrapped around another person's back, bodies close together."
56,"Body upright, one arm extended forward, palm open facing upward."
57,"Body close to another, one arm extending sideways toward their hip at waist level."
58,"Body facing another person, one arm extended, both hands clasped pumping."
59,"Both bodies upright facing each other, arms swinging, gap between them closing."
60,"Both bodies upright back-to-back, arms swinging, gap between them widening."
